order_id,order_date,customer_id,product_id,quantity,unit_price
100001,2024-09-20,936,135,2,383.91
100002,2024-12-12,824,162,3,467.09
100003,2024-03-18,145,115,4,397.45
100004,2025-11-23,742,197,2,26.34
100005,2025-07-24,375,187,4,348.24
100006,2024-01-15,271,112,4,46.29
100007,2025-04-10,378,169,1,210.88
100008,2025-08-21,391,187,3,348.24
100009,2024-04-20,692,182,3,253.85
100010,2024-01-26,635,130,4,274.58
100011,2025-09-16,227,172,3,427.64
100012,2025-10-12,844,183,1,235.95
100013,2025-10-26,419,160,3,228.8
100014,2024-02-16,969,115,2,397.45
100015,2025-05-19,119,105,3,186.82
100016,2025-07-04,139,113,2,407.45
100017,2025-01-14,687,150,4,280.59
100018,2025-03-05,602,196,5,452.66
100019,2025-02-28,671,196,2,452.66
100020,2025-09-22,418,113,4,407.45
100021,2025-12-07,380,136,1,329.23
100022,2025-03-31,974,128,4,461.37
100023,2024-04-11,703,131,3,29.52
100024,2025-10-22,368,148,5,69.49
100025,2024-10-09,195,108,4,60.26
100026,2024-04-03,679,116,4,196.38
100027,2024-01-22,52,128,5,461.37
100028,2024-05-08,806,143,2,414.2
100029,2024-03-11,850,173,2,317.12
100030,2024-07-31,601,198,5,54.16
100031,2024-12-02,793,128,2,461.37
100032,2024-01-03,284,119,5,316.49
100033,2025-07-07,257,119,2,316.49
100034,2025-11-07,888,123,1,356.4
100035,2024-01-16,367,104,2,490.44
100036,2024-11-27,17,131,5,29.52
100037,2024-02-23,130,123,3,356.4
100038,2025-06-22,117,195,4,342.09
100039,2025-05-02,460,196,1,452.66
100040,2025-06-09,608,200,3,439.46
100041,2025-05-30,227,114,4,68.03
100042,2025-11-05,534,179,1,221.03
100043,2025-10-20,988,139,4,430.28
100044,2025-05-05,868,104,1,490.44
100045,2025-12-03,111,152,4,254.19
100046,2024-03-16,921,163,4,290.17
100047,2025-09-14,152,111,3,65.89
100048,2024-10-08,640,109,2,239.99
100049,2025-07-15,730,182,5,253.85
100050,2025-09-03,544,142,4,168.39
100051,2025-06-01,620,138,4,180.49
100052,2025-12-19,118,156,1,433.36
100053,2024-08-08,441,184,5,336.74
100054,2025-02-27,348,158,2,148.58
100055,2025-03-01,748,159,4,294.15
100056,2025-03-13,321,113,3,407.45
100057,2025-01-18,977,186,3,473.16
100058,2024-03-09,94,120,4,86.95
100059,2025-03-18,99,111,1,65.89
100060,2024-05-13,570,196,3,452.66
100061,2025-07-29,576,108,5,60.26
100062,2025-02-24,363,143,1,414.2
100063,2024-02-22,992,186,4,473.16
100064,2024-11-15,361,137,5,223.57
100065,2025-06-03,218,114,5,68.03
100066,2024-08-17,868,120,4,86.95
100067,2025-07-23,377,114,3,68.03
